Time | RefInterval | ActualInterval | AvgPlayerInterval
84s | RefInterval: 0.623 | ActualInterval: 0.623 | AvgPlayerInterval: 0.700
85s | RefInterval: 0.623 | ActualInterval: 0.623 | AvgPlayerInterval: 0.700
85s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 0.700
86s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 0.700
87s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 0.700
87s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 0.700
88s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 0.700
89s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 0.700
90s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 0.700
90s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 0.700
91s | RefInterval: 0.622 | ActualInterval: 0.622 | AvgPlayerInterval: 0.700
92s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
92s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
93s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
94s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
94s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
95s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
96s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
97s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
97s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
98s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
99s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
99s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
100s | RefInterval: 0.621 | ActualInterval: 0.621 | AvgPlayerInterval: 0.700
